\\ K2 Targets - Campaign 3
\\ EPIC ID = K2 Ecliptic Plane Input Catalog ID
\\ RA, Dec = Coordinates (J2000)
\\ Mag_Kep = Kepler magnitude
\\ Mag_Ks = Ks magnitude
\\ Num_plan = Number of confirmed planets
\\ Poss_pc = Possible planetary candidate
\\ Num_spec = Number of spectroscopy observations
\\ Num_img = Number of imaging observations
\\ Last Mod = Last modified date

EPIC ID,RA,Dec,Mag_Kep,Mag_Ks,Num_plan,Poss_pc,Num_spec,Num_img,Last Mod
205889250,22:31:02.84,-18:42:34.34,16.629,13.313,0,,0,0,2016-12-19 12:00:00
205890696,22:30:47.86,-18:38:24.42,15.803,12.928,0,,0,0,2016-12-19 12:00:00
205891576,22:30:44.55,-18:35:45.98,12.652,11.254,0,,0,0,2016-12-19 12:00:00
205891848,22:31:42.39,-18:34:51.98,16.069,13.447,0,,0,0,2016-12-19 12:00:00
205891876,22:31:32.66,-18:34:48.21,15.462,12.245,0,,0,0,2016-12-19 12:00:00
205891958,22:31:44.02,-18:34:36.1,17.171,14.540,0,,0,0,2016-12-19 12:00:00
205892108,22:31:35.97,-18:34:08.53,10.232,8.062,0,,0,0,2016-12-19 12:00:00
205892281,22:31:30.32,-18:33:35.26,10.717,9.474,0,,0,0,2016-12-19 12:00:00
205892667,22:31:42.93,-18:32:22.8,17.931,,0,,0,0,2016-12-19 12:00:00
205892677,22:31:17.34,-18:32:21.07,14.838,11.602,0,,0,0,2016-12-19 12:00:00
205893085,22:31:53.34,-18:31:07.33,12.845,11.157,0,,0,0,2016-12-19 12:00:00
205893214,22:31:08.9,-18:30:45.4,9.714,7.533,0,,0,0,2016-12-19 12:00:00
205893469,22:28:48.76,-18:29:56.3,11.115,9.796,0,,0,0,2016-12-19 12:00:00
205893603,22:28:26.01,-18:29:30.81,12.724,11.158,0,,0,0,2016-12-19 12:00:00
205893702,22:28:51.94,-18:29:16.18,12.130,10.962,0,,0,0,2016-12-19 12:00:00
205893858,22:31:56.92,-18:28:50.31,15.286,12.280,0,,0,0,2016-12-19 12:00:00
205894004,22:31:36.96,-18:28:22.43,16.491,13.259,0,,0,0,2016-12-19 12:00:00
205894358,22:29:31.14,-18:27:21.01,12.847,11.164,0,,0,0,2016-12-19 12:00:00
205894941,22:30:17.48,-18:25:38.42,15.492,12.800,0,,0,0,2016-12-19 12:00:00
205895081,22:30:59.96,-18:25:15.51,18.270,,0,,0,0,2016-12-19 12:00:00
205895090,22:31:06.74,-18:25:14,12.300,10.903,0,,0,0,2016-12-19 12:00:00
205895252,22:32:44.9,-18:24:49.2,11.198,9.555,0,,0,0,2016-12-19 12:00:00
205895680,22:29:42.74,-18:23:44.92,12.391,10.654,0,,0,0,2016-12-19 12:00:00
205896070,22:31:09.23,-18:22:40.12,12.522,11.113,0,,0,0,2016-12-19 12:00:00
205896106,22:31:48.53,-18:22:33.91,11.344,10.045,0,,0,0,2016-12-19 12:00:00
205896226,22:29:40.68,-18:22:13.79,10.417,9.070,0,,0,0,2016-12-19 12:00:00
205896348,22:31:06.93,-18:21:53.33,15.482,12.199,0,,0,0,2016-12-19 12:00:00
205896459,22:31:12.82,-18:21:34.72,10.901,9.656,0,,0,0,2016-12-19 12:00:00
205896499,22:30:34.02,-18:21:28.35,15.987,12.823,0,,0,0,2016-12-19 12:00:00
205896601,22:31:38.2,-18:21:12.5,17.712,15.104,0,,0,0,2016-12-19 12:00:00
205896721,22:31:12.87,-18:20:55.32,12.369,10.175,0,,0,0,2016-12-19 12:00:00
205896738,22:31:45.18,-18:20:52.95,18.419,,0,,0,0,2016-12-19 12:00:00
205896803,22:31:41.93,-18:20:44.71,17.529,14.634,0,,0,0,2016-12-19 12:00:00
205896873,22:29:56.25,-18:20:33.21,12.515,11.082,0,,0,0,2016-12-19 12:00:00
205897043,22:32:43.1,-18:20:07.36,12.367,10.287,0,,0,0,2016-12-19 12:00:00
205897059,22:30:22.08,-18:20:05.25,12.994,11.653,0,,0,0,2016-12-19 12:00:00
205897280,22:29:02.74,-18:19:31.15,10.835,9.474,0,,0,0,2016-12-19 12:00:00
205897389,22:31:36.08,-18:19:16.84,15.930,12.876,0,,0,0,2016-12-19 12:00:00
205897543,22:29:58.56,-18:18:53.69,9.723,8.163,0,,0,0,2016-12-19 12:00:00
205897774,22:28:09.85,-18:18:20.31,12.558,11.093,0,,0,0,2016-12-19 12:00:00
205897829,22:31:04.38,-18:18:11.97,11.746,10.382,0,,0,0,2016-12-19 12:00:00
205898099,22:33:09.94,-18:17:32.13,14.876,11.418,0,,0,0,2016-12-19 12:00:00
205898160,22:31:17.72,-18:17:22.82,12.387,10.921,0,,0,0,2016-12-19 12:00:00
205898238,22:27:52.76,-18:17:10.13,11.749,10.526,0,,0,0,2016-12-19 12:00:00
205898439,22:31:53.91,-18:16:37.95,10.940,9.090,0,,0,0,2016-12-19 12:00:00
205898454,22:32:22.32,-18:16:35.14,12.734,11.380,0,,0,0,2016-12-19 12:00:00
205898527,22:32:28.89,-18:16:24.89,11.415,10.012,0,,0,0,2016-12-19 12:00:00
205898849,22:30:47,-18:15:37.92,17.243,14.113,0,,0,0,2016-03-10 14:56:53
205898872,22:33:49.61,-18:15:34.41,12.750,11.323,0,,0,0,2016-12-19 12:00:00
205898882,22:31:08.44,-18:15:32.73,16.273,13.228,0,,0,0,2016-12-19 12:00:00
205898894,22:30:23.94,-18:15:31.41,18.191,14.339,0,,0,0,2016-12-19 12:00:00
205898942,22:33:49.09,-18:15:23.84,17.957,14.977,0,,0,0,2016-12-19 12:00:00
205899208,22:30:50.32,-18:14:42.64,11.937,10.800,0,,0,0,2016-12-19 12:00:00
205899250,22:32:30.01,-18:14:36.82,12.761,11.118,0,,0,0,2016-12-19 12:00:00
205899663,22:33:23.23,-18:13:33.67,15.002,11.727,0,,0,0,2016-12-19 12:00:00
205899671,22:31:03.65,-18:13:32.38,16.659,14.180,0,,0,0,2016-12-19 12:00:00
205899782,22:29:39.58,-18:13:16.14,12.329,10.845,0,,0,0,2016-12-19 12:00:00
205899868,22:33:37,-18:13:01.63,15.953,13.127,0,,0,0,2016-12-19 12:00:00
205900489,22:27:59.35,-18:11:24.37,11.010,9.602,0,,0,0,2016-12-19 12:00:00
205900728,22:29:12.5,-18:10:47.24,16.382,13.844,0,,0,0,2016-12-19 12:00:00
205900901,22:31:54.48,-18:10:21.53,11.800,10.509,0,,0,0,2016-12-19 12:00:00
205901168,22:12:54.04,-18:09:36.99,11.655,10.234,0,,0,0,2016-12-19 12:00:00
205901212,22:13:05.57,-18:09:30.48,12.805,10.891,0,,0,0,2016-12-19 12:00:00
205901226,22:30:46.55,-18:09:28.23,13.694,11.574,0,,0,0,2016-12-19 12:00:00
205901259,22:32:09.65,-18:09:22.85,11.310,10.095,0,,0,0,2016-12-19 12:00:00
205901278,22:32:37.49,-18:09:18.46,15.790,12.681,0,,0,0,2016-12-19 12:00:00
205901354,22:30:39.48,-18:09:05.95,11.047,8.506,0,,0,0,2016-12-19 12:00:00
205901365,22:28:15.73,-18:09:03.8,12.276,10.938,0,,0,0,2016-12-19 12:00:00
205901417,22:31:19.15,-18:08:53.24,13.302,11.760,0,,0,0,2016-12-19 12:00:00
205901524,22:28:24.36,-18:08:37.4,12.555,11.109,0,,0,0,2016-12-19 12:00:00
205901703,22:28:04.01,-18:08:08.87,9.172,7.932,0,,0,0,2016-12-19 12:00:00
205901713,22:29:09.03,-18:08:06.6,12.227,10.312,0,,0,0,2016-12-19 12:00:00
205901944,22:30:42.77,-18:07:34.88,11.459,10.275,0,,0,0,2016-12-19 12:00:00
205901983,22:34:07.35,-18:07:29.05,13.454,11.636,0,,0,0,2016-12-19 12:00:00
205902142,22:27:50.94,-18:07:03.86,12.684,10.684,0,,0,0,2016-12-19 12:00:00
205902289,22:31:11.65,-18:06:38.6,13.231,11.507,0,,0,0,2016-03-10 14:56:53
205902352,22:13:36.99,-18:06:27.31,12.797,10.770,0,,0,0,2016-12-19 12:00:00
205902368,22:28:38.55,-18:06:25.12,12.627,11.245,0,,0,0,2016-12-19 12:00:00
205902410,22:33:36.14,-18:06:17.94,12.815,11.163,0,,0,0,2016-12-19 12:00:00
205902486,22:34:24.29,-18:06:08.24,12.653,10.959,0,,0,0,2016-12-19 12:00:00
205902563,22:29:26.78,-18:05:55.33,12.898,11.732,0,,0,0,2016-12-19 12:00:00
205902815,22:12:22.31,-18:05:17.42,11.255,10.030,0,,0,0,2016-12-19 12:00:00
205902846,22:31:53.84,-18:05:12.04,11.391,9.802,0,,0,0,2016-12-19 12:00:00
205902984,22:33:20.64,-18:04:50.64,15.476,12.654,0,,0,0,2016-12-19 12:00:00
205903013,22:32:46.73,-18:04:45.76,12.637,11.121,0,,0,0,2016-12-19 12:00:00
205903167,22:33:28.1,-18:04:20.34,15.658,12.797,0,,0,0,2016-12-19 12:00:00
205903217,22:31:30.1,-18:04:12.96,13.645,10.349,0,,0,0,2016-12-19 12:00:00
205903268,22:31:20.02,-18:04:04.84,18.214,,0,,0,0,2016-12-19 12:00:00
205903279,22:34:07.52,-18:04:03.12,16.060,13.645,0,,0,0,2016-12-19 12:00:00
205903300,22:13:48.98,-18:03:59.89,14.085,11.474,0,,0,0,2016-12-19 12:00:00
205903477,22:34:37.62,-18:03:34.28,12.483,11.158,0,,0,0,2016-12-19 12:00:00
205903523,22:31:15.56,-18:03:27.09,17.727,15.135,0,,0,0,2016-12-19 12:00:00
205903692,22:31:13.26,-18:02:59.56,13.527,11.663,0,,0,0,2016-12-19 12:00:00
205903713,22:14:00.51,-18:02:56.57,14.671,11.566,0,,0,0,2016-12-19 12:00:00
205903781,22:31:18.79,-18:02:48.1,17.940,13.835,0,,0,0,2016-12-19 12:00:00
205903903,22:34:13.7,-18:02:30.25,12.809,11.525,0,,0,0,2016-12-19 12:00:00
205904010,22:11:58.38,-18:02:16.29,11.582,9.237,0,,0,0,2016-12-19 12:00:00
205904047,22:13:54.64,-18:02:10.92,17.102,13.392,0,,0,0,2016-12-19 12:00:00
205904095,22:31:46.82,-18:02:02.51,12.216,10.710,0,,0,0,2016-12-19 12:00:00
205904127,22:33:59.03,-18:01:58.11,12.977,11.276,0,,0,0,2016-12-19 12:00:00
205904220,22:29:22.92,-18:01:45.08,17.708,15.086,0,,0,0,2016-12-19 12:00:00
205904260,22:29:31.09,-18:01:39.38,11.049,9.985,0,,0,0,2016-12-19 12:00:00
205904274,22:12:33.11,-18:01:37.78,8.706,7.460,0,,0,0,2016-12-19 12:00:00
205904494,22:30:32.89,-18:01:01.65,11.946,10.587,0,,0,0,2016-12-19 12:00:00
205904592,22:34:52.72,-18:00:46.38,12.644,11.279,0,,0,0,2016-12-19 12:00:00
205904628,22:26:18.19,-18:00:40.21,8.220,6.887,0,Y,2,2,2016-12-19 12:00:00
205904697,22:32:43.6,-18:00:30.69,16.194,13.328,0,,0,0,2016-12-19 12:00:00
205904816,22:29:26.7,-18:00:13.15,11.420,10.154,0,,0,0,2016-12-19 12:00:00
205904844,22:35:18.13,-18:00:10,12.638,11.217,0,,0,0,2016-12-19 12:00:00
205904964,22:29:26.87,-17:59:52.99,10.943,9.707,0,,0,0,2016-12-19 12:00:00
205905024,22:30:40.72,-17:59:44.37,14.044,11.603,0,,0,0,2016-12-19 12:00:00
205905085,22:28:11.57,-17:59:36.19,12.335,10.966,0,,0,0,2016-12-19 12:00:00
205905204,22:28:29.6,-17:59:19.78,10.227,7.952,0,,0,0,2016-12-19 12:00:00
205905261,22:14:29.49,-17:59:12.59,15.630,12.698,0,,0,0,2016-12-19 12:00:00
205905303,22:13:11.09,-17:59:07.55,15.705,12.575,0,,0,0,2016-12-19 12:00:00
205905309,22:33:59.11,-17:59:07.33,17.720,14.640,0,,0,0,2016-12-19 12:00:00
205905356,22:28:55.72,-17:58:59.91,12.544,11.427,0,,0,0,2016-12-19 12:00:00
205905563,22:13:48.95,-17:58:33.22,17.019,13.827,0,,0,0,2016-12-19 12:00:00
205905604,22:30:45.99,-17:58:29.01,12.410,11.193,0,,0,0,2016-12-19 12:00:00
205905673,22:31:01.73,-17:58:18.81,13.808,10.898,0,,0,0,2016-12-19 12:00:00
205905688,22:35:34.81,-17:58:17.22,15.457,12.390,0,,0,0,2016-12-19 12:00:00
205905693,22:35:33.1,-17:58:16.06,14.725,13.275,0,,0,0,2016-12-19 12:00:00
205905919,22:13:34.39,-17:57:45.27,11.825,9.349,0,,0,0,2016-12-19 12:00:00
205905922,22:35:12.45,-17:57:44.55,15.533,12.232,0,,0,0,2016-12-19 12:00:00
205906121,22:28:30.43,-17:57:17.7,15.960,13.085,0,,0,0,2016-12-19 12:00:00
205906140,22:34:50.35,-17:57:15.2,15.916,13.077,0,,0,0,2016-12-19 12:00:00
205906154,22:31:45.94,-17:57:12.54,11.872,10.430,0,,0,0,2016-12-19 12:00:00
205906244,22:14:39.05,-17:57:00.84,12.098,10.472,0,,0,0,2016-12-19 12:00:00
205906246,22:13:42.55,-17:57:00.39,16.926,14.364,0,,0,0,2016-12-19 12:00:00
205906302,22:35:26.83,-17:56:54.12,16.261,13.373,0,,0,0,2016-12-19 12:00:00
205906310,22:30:37.85,-17:56:53.14,9.969,8.182,0,,0,0,2016-12-19 12:00:00
205906385,22:28:24.33,-17:56:43.57,12.992,11.886,0,,0,0,2016-12-19 12:00:00
205906390,22:30:14.1,-17:56:43.04,15.480,12.470,0,,0,0,2016-12-19 12:00:00
205906443,22:35:15.03,-17:56:34.91,17.132,14.504,0,,0,0,2016-12-19 12:00:00
205906626,22:31:42.58,-17:56:12.25,15.554,12.574,0,,0,0,2016-12-19 12:00:00
205906794,22:31:45.64,-17:55:51.68,13.029,10.441,0,,0,0,2016-12-19 12:00:00
205906828,22:33:29.08,-17:55:47.25,15.645,12.445,0,,0,0,2016-12-19 12:00:00
205907051,22:31:01.41,-17:55:18.42,12.781,11.157,0,,0,0,2016-12-19 12:00:00
205907116,22:34:32.09,-17:55:08.38,16.890,14.430,0,,0,0,2016-12-19 12:00:00
205907133,22:13:30.59,-17:55:06.11,17.144,14.560,0,,0,0,2016-12-19 12:00:00
205907214,22:28:58.78,-17:54:54.81,11.715,10.507,0,,0,0,2016-12-19 12:00:00
205907443,22:31:36.43,-17:54:22.82,13.278,11.353,0,,0,0,2016-12-19 12:00:00
205907488,22:29:38.28,-17:54:16.18,12.806,11.241,0,,0,0,2016-12-19 12:00:00
205907593,22:14:54.13,-17:54:01.08,15.053,12.195,0,,0,0,2016-12-19 12:00:00
205907813,22:13:04.86,-17:53:32.07,15.685,12.468,0,,0,0,2016-03-10 14:56:53
205907895,22:34:19.15,-17:53:21.77,12.878,11.697,0,,0,0,2016-12-19 12:00:00
205907951,22:14:03,-17:53:13.6,16.267,13.031,0,,0,0,2016-12-19 12:00:00
205908042,22:34:37.46,-17:53:02.55,12.134,10.517,0,,0,0,2016-12-19 12:00:00
205908064,22:25:38.23,-17:52:59.35,12.690,10.994,0,,0,0,2016-12-19 12:00:00
205908091,22:29:40.61,-17:52:55.78,11.343,10.286,0,,0,0,2016-12-19 12:00:00
205908127,22:35:22.65,-17:52:51.36,16.682,13.573,0,,0,0,2016-12-19 12:00:00
205908167,22:31:00.37,-17:52:45.57,15.007,12.049,0,,0,0,2016-12-19 12:00:00
205908169,22:33:25.04,-17:52:45.36,13.932,11.040,0,,0,0,2016-12-19 12:00:00
205908187,22:14:05.08,-17:52:42.71,16.888,14.333,0,,0,0,2016-12-19 12:00:00
205908197,22:11:46.81,-17:52:40.71,11.624,10.102,0,,0,0,2016-12-19 12:00:00
205908263,22:30:45.97,-17:52:31.97,13.102,11.611,0,,0,0,2016-12-19 12:00:00
205908296,22:32:30.55,-17:52:28.21,11.851,9.627,0,,0,0,2016-12-19 12:00:00
205908353,22:12:45.1,-17:52:20.06,12.388,10.408,0,,0,0,2016-12-19 12:00:00
205908392,22:35:57.32,-17:52:15,10.469,9.079,0,,0,0,2016-12-19 12:00:00
205908429,22:28:34.96,-17:52:09.56,15.835,12.934,0,,0,0,2016-12-19 12:00:00
205908463,22:32:06.87,-17:52:05.55,16.212,12.926,0,,0,0,2016-12-19 12:00:00
205908472,22:33:30.77,-17:52:04.13,11.102,9.479,0,,0,0,2016-12-19 12:00:00
205908544,22:32:27.47,-17:51:52.7,13.924,11.776,0,,0,0,2016-12-19 12:00:00
205908577,22:35:11.01,-17:51:49.68,14.917,11.876,0,,0,0,2016-12-19 12:00:00
205908609,22:13:50.52,-17:51:45.22,15.360,12.263,0,,0,0,2016-12-19 12:00:00
205908691,22:32:20.19,-17:51:34.3,11.912,10.397,0,,0,0,2016-12-19 12:00:00
