\\ K2 Targets - Campaign 2
\\ EPIC ID = K2 Ecliptic Plane Input Catalog ID
\\ RA, Dec = Coordinates (J2000)
\\ Mag_Kep = Kepler magnitude
\\ Mag_Ks = Ks magnitude
\\ Num_plan = Number of confirmed planets
\\ Poss_pc = Possible planetary candidate
\\ Num_spec = Number of spectroscopy observations
\\ Num_img = Number of imaging observations
\\ Last Mod = Last modified date

EPIC ID,RA,Dec,Mag_Kep,Mag_Ks,Num_plan,Poss_pc,Num_spec,Num_img,Last Mod
202551457,16:12:14.92,-29:15:21.97,12.312,11.261,0,,0,0,2016-12-19 12:00:00
202551541,16:29:20.32,-29:15:20.69,15.128,11.398,0,,0,0,2016-12-19 12:00:00
202551851,16:12:14.52,-29:15:16.39,12.312,10.738,0,,0,0,2016-12-19 12:00:00
202552065,16:11:16.92,-29:15:13.48,10.217,8.645,0,,0,0,2016-12-19 12:00:00
202552141,16:19:16.09,-29:15:12.68,13.742,10.437,0,,0,0,2016-12-19 12:00:00
202552587,16:22:08.59,-29:15:06.44,13.236,9.650,0,,0,0,2016-12-19 12:00:00
202552820,16:24:02.6,-29:15:03.05,11.491,9.916,0,,0,0,2016-12-19 12:00:00
202552884,16:29:12.93,-29:15:02.03,14.888,11.370,0,,0,0,2016-12-19 12:00:00
202552973,16:29:25.22,-29:15:00.8,14.140,10.577,0,,0,0,2016-12-19 12:00:00
202553018,16:29:12.17,-29:15:00.33,14.058,10.610,0,,0,0,2016-12-19 12:00:00
202553061,16:17:35.11,-29:14:59.88,12.554,10.391,0,,0,0,2016-12-19 12:00:00
202554180,16:24:20.79,-29:14:44.45,10.904,9.300,0,,0,0,2016-12-19 12:00:00
202554603,16:22:39.42,-29:14:37.75,14.771,11.155,0,,0,0,2016-12-19 12:00:00
202555014,16:26:22.97,-29:14:31.87,13.855,11.481,0,,0,0,2016-12-19 12:00:00
202556430,16:09:17.92,-29:14:11.4,12.015,10.737,0,,0,0,2016-12-19 12:00:00
202556548,16:16:41.21,-29:14:09.52,11.821,9.378,0,,0,0,2016-12-19 12:00:00
202558355,16:14:28.71,-29:13:43.81,9.837,8.734,0,,0,0,2016-12-19 12:00:00
202559547,16:30:58.44,-29:13:27.06,13.884,10.618,0,,0,0,2016-12-19 12:00:00
202560203,16:12:50.21,-29:13:17.68,12.289,10.869,0,,0,0,2016-12-19 12:00:00
202560219,16:29:24.16,-29:13:17.49,11.892,9.418,0,,0,0,2016-12-19 12:00:00
202561196,16:12:39.94,-29:13:03.99,12.581,10.834,0,,0,0,2016-12-19 12:00:00
202561581,16:12:56.47,-29:12:58.64,11.031,9.682,0,,0,0,2016-12-19 12:00:00
202562641,16:26:20.75,-29:12:43.4,12.422,10.647,0,,0,0,2016-12-19 12:00:00
202563133,16:29:03.9,-29:12:36.68,14.246,10.967,0,,0,0,2016-12-19 12:00:00
202563699,16:12:27.52,-29:12:28.88,11.924,8.862,0,,0,0,2016-12-19 12:00:00
202564230,16:10:02.34,-29:12:21.21,12.010,10.986,0,,0,0,2016-12-19 12:00:00
202564237,16:09:08.84,-29:12:21.07,11.686,10.083,0,,0,0,2016-12-19 12:00:00
