# COLUMN period: Orbital period of the planet [days]
# COLUMN radius: Planet Radius [REarth]
#
,period,radius
0,177.803660553,1.41328899572
1,24.6354635093,0.699553693285
2,5.41002750767,1.14592671945
3,17.0007720286,0.820040761641
4,14.138030703,1.6984838678
5,61.5351700576,2.21155415875
6,83.2462697329,1.01593751671
7,6.51332669029,2.24990471363
8,134.765798862,0.975251627454
9,9.06702983503,0.84901892885
10,9.84987135073,2.74278772248
11,1.8821698553,0.781111186673
12,156.295716405,0.960689175178
13,32.1140916122,1.39359543102
14,7.8867244876,0.960053664874
15,33.3549467882,2.11989245943
16,31.8039070597,1.57460834965
17,5.88941924525,0.948693760107
18,32.8258554184,1.08954164044
19,81.2510378597,1.23881386709
20,49.6130956021,1.73839464556
21,6.80096659742,0.900435894999
22,16.4704359569,1.17881815205
23,9.73538489039,0.712253769823
24,121.826915096,0.959902562974
25,109.083147929,1.56027428146
26,4.13081891797,1.42533552294
27,67.3453433197,2.08827742563
28,69.3117520486,2.57738372738
29,50.0365776975,1.62100574163
30,16.7916747428,1.30738626411
31,71.3157536519,3.18600251782
32,24.7363238882,2.56487893624
33,1.96813774875,0.746012038452
34,101.953944124,1.13093587637
35,66.5439901498,2.0915663436
36,99.0254756009,1.8092677399
37,112.072312878,1.57750874032
38,122.876003573,1.4535687095
39,6.62931011659,1.00807306017
40,161.117887394,1.15107473824
41,22.8518306176,2.01274282679
42,13.8451369474,1.34503056173
43,3.2484104697,1.76583134146
44,83.3877127926,1.34380539017
45,110.25084328,1.66861257267
46,26.0288789057,1.97141206007
47,87.4117236557,2.15444157804
48,171.445147921,1.73083701923
49,147.976078973,1.44672069502
50,3.91351234094,0.694460680812
51,10.759607048,1.22552026732
52,12.4853548109,1.42920245408
53,2.66959126775,0.885100961416
54,40.2244835743,1.79553436737
55,22.9979802143,1.63671659776
56,9.28139394689,1.12153959499
57,107.79600746,1.80784125416
58,18.1783203684,1.9339234592
59,6.184337472,1.30674138556
60,74.8843765169,2.21580625405
61,141.340475243,1.81174277601
62,147.731270839,1.24477146323
63,48.5274986518,3.12025064532
64,162.256645311,1.31528009054
65,12.8812423664,2.13996991015
66,6.13004413327,0.787822054719
67,25.1974879421,2.8052107343
68,36.6002560528,1.6914372013
69,33.0733551231,0.922368208583
70,15.8408846672,0.661932426929
71,13.1198839638,2.24384797709
72,12.8865847365,0.729456535925
73,126.051397281,2.2341053294
74,10.361806393,0.78535524558
75,42.5455566962,2.26182740444
76,23.503650635,0.903414710683
77,35.2046756618,1.0871825517
78,9.3495934909,0.8129191914
79,4.3386579253,1.36022061099
80,8.60049957347,1.28803504096
81,29.1850650325,1.45654479454
82,5.41695343675,1.92645862393
83,8.02299257033,1.08760342142
84,91.9669845445,1.78371662934
85,61.5373575647,2.528573108
86,13.4640235148,2.37810288613
87,2.52202472367,1.7323636203
88,16.3515433795,0.77785360065
89,21.6757656397,1.61349066871
90,59.2168885398,1.90686877069
91,16.4799215614,2.81420352659
92,4.61010214134,1.18733162108
93,3.69774972178,1.99606483706
94,58.3505607306,2.58602239379
95,9.7015823766,2.25743199554
96,187.949141488,1.74763614821
97,13.0422486448,0.757758916877
98,11.091897595,1.40223626784
99,63.8405378216,1.37810970219
100,14.3151785526,1.67606674934
101,70.2892117895,1.95870758714
102,25.153463211,1.40220007361
103,2.50130333179,0.536889608252
104,20.0084098553,0.776837121441
105,10.6857842239,0.960786657254
106,3.02594164269,0.575138445352
107,15.6046872494,1.50638921881
108,132.872111721,1.4000352844
109,46.405289635,1.01856738581
110,122.661332102,1.11545447242
111,6.58343031769,0.663274916848
112,70.0482165754,2.48078341009
113,155.691390044,1.35982132067
114,38.8213433055,1.36628772084
115,72.2806878923,1.6250508407
116,21.2002305381,1.04751254851
117,45.2998309145,2.88944004203
118,131.751554948,1.13180134236
119,46.0872760834,0.875176062914
120,32.0161931471,1.85840290563
121,152.156175378,0.943952656912
122,74.0848845369,2.37877813076
123,158.153044355,1.03457663131
124,11.6683464788,0.748002125825
125,18.5074401411,1.29336894203
126,18.6176295242,0.66682876866
127,53.4159857034,1.78588265869
128,30.1831397811,0.871979731507
129,8.27219901421,3.25262360806
130,26.8330716235,2.43207943938
131,21.2415937981,2.21405155055
132,87.9247570114,1.09911952074
133,20.8781260584,2.37024503109
134,59.9312058458,0.797429768335
135,46.5759418373,2.37095133738
136,2.48292919934,3.30338647681
137,11.2237204898,2.41201726235
138,11.2613737552,2.77554459946
139,20.2375527581,2.62739564504
140,144.792564479,1.05755982582
141,197.569753335,1.29696792776
142,176.39163433,1.03602208036
143,34.7944189102,1.27332921663
144,8.51039942485,2.80880739001
145,4.57639151185,0.547097295966
146,11.9544179054,3.99599183046
147,10.9951380788,1.82791917265
148,5.08882968588,1.01993332085
149,34.8537105816,1.51138226986
150,17.1613551447,1.85718379937
151,16.2526909943,1.33787728896
152,119.268763389,3.30222547968
153,4.1173774559,0.975858473583
154,46.1320709124,1.94009339834
155,11.1321175838,0.655630593626
156,11.1928024152,3.72494422982
157,23.2750043798,1.64123418244
158,183.683260878,1.17073066282
159,57.8389616183,1.99961166677
160,61.0032921151,2.44440481932
161,7.21164257038,2.53206716199
162,11.1720984807,1.86309991823
163,29.965527746,2.35058975221
164,38.6058221213,1.92670636239
165,44.2662642049,1.60875123186
166,101.45364505,1.08689676919
167,18.6464692935,0.812220372785
168,11.6806267469,1.6468924447
169,35.8248448863,3.06097883665
170,1.36257928491,0.758311152934
171,2.6740000974,0.501233709533
172,26.7736864854,0.842926486745
173,24.7623510726,1.64776783883
